Cat Id,Item Code,Item Name,Item Desc,MRP,Unit,sale price,purchase price,Qty,Expiry,Free Item Code,Free Item Name,Free Item Qty,Free Item MRp
1,8906029310217,SHATABDI BESAN 1KG,SHATABDI BESAN 1KG,100,KG,70,66.07,0,0000-00-00,,,,
1,8901725121112,ASHIRVAD ATA 10KG,ASHIRVAD ATA 10KG,340,KG,292,273.59,0,0000-00-00,,,,
1,ATMA-ATA,ATMA ATA 10KG,ATMA ATA 10KG,200,KG,172,170,0,0000-00-00,,,,
1,8911234567875,BESAN SRI RAM,BESAN SRI RAM,80,KG,55,53.3,0,0000-00-00,,,,
1,BESAN-B,BESAN B 1KG,BESAN B 1KG,90,KG,67,62,0,0000-00-00,,,,
1,BESAN-M,BESAN M 1KG,BESAN M 1KG,90,KG,67,63.02,0,0000-00-00,,,,
1,SHATABDI-BESAN500G,SHATABDI BESAN 500G,SHATABDI BESAN 500G,43,GRM,35,33.29,0,0000-00-00,,,,
1,SUJI-OPEN,SUJI OPEN 1KG,SUJI OPEN 1KG,30,KG,24,19.33,0,0000-00-00,,,,
1,CHAKI ATTA,CHEF FRESH ATTA 10KG,CHEF FRESH ATTA 10KG,275,kg,223,205,0,0000-00-00,,,,
1,BESAN-500G,BESAN 500 G,BESAN 500 G,40,GRM,22,22,0,0000-00-00,,,,
1,SR-RAM-BESAN-500G,SRI RAM BESAN 500G,SRI RAM BESAN 500G,52,ML,30,1,0,0000-00-00,,,,
1,KUBBER-1KG,KUBBER 1KG,KUBBER 1KG,80,KG,72,42.69,0,0000-00-00,,,,
1,KUBBER-500G,KUBBER 500G,KUBBER 500G,40,GRM,36,21.35,0,0000-00-00,,,,
1,SUN-FLWR-CLASSIC,SUN FLOWER MATHIC,SUN FLOWER MATHIC,20,ML,12,10,0,0000-00-00,,,,
1,ANAND ATTA,Anand Atta 10kg,Anand Atta 10kg,200,kg,170,168,0,0000-00-00,,,,
1,MAIDA,Maida 1KG,Maida 1KG,30,KG,21.5,19.2,0,0000-00-00,,,,
1,SUJI-250G,Suji 250G,Suji 250G,12,GM,8,5,0,0000-00-00,,,,
1,GANESH-BESAN,Ganesh Bhog Besan 1kg,Ganesh Bhog Besan 1kg,95,KG,79,74,0,0000-00-00,,,,
1,GANESH BESAN,Ganesh Bhog Besan 500gm,Ganesh Bhog Besan 500gm,48,KG,40,37,0,0000-00-00,,,,
1,BLACK-CHANA M,Black Chana MD,Black Chana MD,55,kg,45,37,0,0000-00-00,,,,
1,GANASH B ATTA 10KG,GANESH B ATTA 10KG,GANESH B ATTA 10KG,250,kg,226,210,0,0000-00-00,,,,
1,GANESH BHOG MAKKI AT,Ganesh Bhog Makki Atta 1kg,Ganesh Bhog Makki Atta 1kg,35,kg,26,22,0,0000-00-00,,,,
1,GANESH B MAKI ATA 5KG,Ganesh Bhog Makki Atta 5kg,Ganesh Bhog Makki Atta 5kg,180,kg,115,105,0,0000-00-00,,,,
1,8906007285018,Fortune Bessn 500gm,Fortune Bessn 500gm,33,GRM,25,20,0,0000-00-00,,,,
1,GANESH MAIDA,GANESH BHOG MAIDA 500 GM,GANESH BHOG MAIDA 500 GM,30,KG,17.5,15.55,0,0000-00-00,,,,
1,GANESH SUJJI,GANESH BHOG SUJJI 500 GM,GANESH BHOG SUJJI 500 GM,30,KG,16,14,0,0000-00-00,,,,
1,8901221130021,SOHNA ATTA 10 KG,SOHNA ATTA 10 KG,300,kg,230,225,0,0000-00-00,,,,
1,SD,kjkj,kjkj,30,as,1.05,1,0,0000-00-00,,,,
1,SPECIAL ATTA,SPECIAL ATTA 10KG,SPECIAL ATTA 10KG,230,KG,197,179,0,0000-00-00,,,,
1,TOUR PACKAGE,2 NIGHT 3 DAYS,2 NIGHT 3 DAYS,2500,LTR,1000,1,0,0000-00-00,,,,
1,TOUR PACKAGE..,3 NIGHT 4 DAYS,3 NIGHT 4 DAYS,4500,LTR,2000,1,0,0000-00-00,,,,
1,MAKKI ATTA,MAKKI ATTA 5 KG,MAKKI ATTA 5 KG,150,kg,139,125,0,0000-00-00,,,,
1,CHEF MAKKI ATTA,CHEF M-ATTA 500GM,CHEF M-ATTA 500GM,18,GM,15,13,0,0000-00-00,,,,
1,8901538706498,Rudra Bhog Besan 1 kg,Rudra Bhog Besan 1 kg,90,GRM,71,63.48,0,0000-00-00,,,,
1,RUDRA BHOG BESAN,Rudra Bhog Besan 500 gm,Rudra Bhog Besan 500 gm,50,GRM,36,31.74,0,0000-00-00,,,,
1,8905138706498,Rudra Bhog Besan 1 kg,Rudra Bhog Besan 1 kg,90,GRM,71,63.48,0,0000-00-00,,,,
2,8901725116903,MANGALDEEP PUJA AGRBTI 100PC,MANGALDEEP PUJA AGRBTI 100PC,50,PCS,44,1,0,0000-00-00,,,,
2,8901725116750,MANGAL AGRBTI 100PC,MANGAL AGRBTI 100PC,45,PCS,40,1,0,0000-00-00,,,,
2,AGARBATTI,SADHNA AGARBATTI,SADHNA AGARBATTI,15,PCS,12,7,0,0000-00-00,,,,
2,8901725116552,MANGAL DEEP AGARBATI,MANGAL DEEP AGARBATI,50,GRM,45,45,0,0000-00-00,,,,
2,8901725113667,MANGALDEEP DHOOP 8X6,MANGALDEEP DHOOP 8X6,8,GRM,6,5.4,0,0000-00-00,,,,
2,8902102197928,Maya Agarbatti 1pc,Maya Agarbatti 1pc,10,GRM,8,7.5,0,0000-00-00,,,,
2,8901725112059,MANGAL DEEP,MANGAL DEEP,10,GRM,9,8,0,0000-00-00,,,,
2,8901725113636,MANGAL DHOOP,MANGAL DHOOP,20,GRM,17,15,0,0000-00-00,,,,
2,SD1,tesst item,tesst item,5,,1,1,0,0000-00-00,,,,
2,BVR-SPCL-DHF,BVR SPCL DHOOF,BVR SPCL DHOOF,10,KG,9,7.4,0,0000-00-00,,,,
2,BVR-DLX,Bhavrveer Agarbatti,Bhavrveer Agarbatti,10,PCS,7,6,0,0000-00-00,,,,
2,8901725104207,MANGAL DEEP PUJA AGRB,MANGAL DEEP PUJA AGRB,10,PC,9,8,0,0000-00-00,,,,
