Sno.,BARCODE,PRODUCT,QTY,MRP,SALE RATE,PURCHASE RATE,,
1,8901030591259,TAJ  Mahal 500GM,24,215,210.00,193.5,,
2,8901023007446,Godrej no 1 Rosewater,36,68,65.00,57.5,,
3,8901023009426,Godrej no 1 Kesar,36,68,65.00,57.5,,
4,8901030555510,Lux Soft touch,30,94,90.00,85,,
5,8901030591242,Taj mahal 250GM,48,113,110.00,101.25,,
6,8901030584442,Vim 3*125,100,30,28.00,26.5,,
7,8901108101526,Nirma 320g,40,10,10.00,8.87,,
8,8901108101502,Nirma130g,80,5,5.00,4.43,,
9,8901052010615,Tata Premium 1 kg,12,330,315.00,289,,
10,8906014642484,Ginni Cotton seed 2l,8,234,190.00,177,,
11,8901052021192,Tata agni 1 kg,24,222,199.00,166,,
12,8901030590061,Lifebuoy Total,30,88,86.00,79.5,,
13,8901396151005,Harpic 500 ml,24,74,72.00,64,,
14,8901023007477,Godrej Lime aloe vira,36,68,65.00,57.5,,
15,8901023007415,Godrej Coconut neem,36,68,65.00,57.5,,
16,8901030341663,Surf excel 4*200,14,88,85.00,80,,
17,8901023011085,Godrej no1 white lily,36,68,65.00,57.5,,
18,8906014643016,Gagan vansapati 5 ltr,4,539,440.00,423,,
19,8906014642491,Ginni Cotton seed 1 ltr,48,116,87.00,79.5,,
20,8901396398387,Dettol skin care,40,121,119.00,115,,
21,8901396397380,Dettol Original,40,127,125.00,115,,
22,8901030556623,Vim 500gm,24,43,41.00,38.75,,
23,8901030391156,Vim liquid 250 ml,40,58,57.00,52,,
24,8901030462429,Rexona Silky soft,30,84,82.00,68,,
25,8906014642477,Ginni Cotton seed 5ltr,8,503,450.00,428,,
26,8901396153108,Harpic red,24,74,72.00,66,,
27,8901023007408,Godrej no. Sandal,36,68,65.00,57.5,,
28,8906014643023,Gagan Vanaspati 2 ltr,6,224,180.00,160,,
29,8906014643030,Gagan vanaspati 1 ltr,80,90,77.00,70.5,,
30,8908000258044,Jivo 5 ltr,4,1250,990.00,900,,
31,8908000258013,Jivo1,16,390,175.00,150,,
32,8906014643870,Gagan Kachi ghanni 1 ltr,12,154,117.00,105,,
33,8906014643719,Gagan Kachi Ghani 5 ltr,4,760,595.00,532.5,,
34,8906014642941,Gagan Vanpaspati 15 ltr,4,1511,1160.00,1120,,
35,8906014643788,Gagan Soya 15 ltr,6,1532,1185.00,1140,,
36,Sugar L simple,Sugar L simple,10,55,42.50,41,,
37,Sugar M 1kg,Sugar M 1kg,10,52,41.50,40.2,,
38,8901030594489,Surf excel 1 Kg,10,110,107.00,96,,
39,8901030584121,Wheel 1 Kg,100,49,47.00,42.6,,
40,8901030578410,Wheel 4 Kg,10,180,178.00,168,,
41,4902430668538,Tide Plus 1 kg,24,90,87.00,76.87,,
42,8901030556500,Rin 4 kg,10,352,349.00,317,,
43,4902430672191,Tide Plus Jasmine Rose 5KG,10,382,370.00,325,,
44,8901030560941,Surf Excel 1.5 kg,20,187,184.00,142,,
45,Besan B,Besan B,40,140,120.00,105,,
46,Besan M,Besan M,40,115,120.00,105,,
47,Loose Suji ,Loose Suji ,40,30,24.00,20.37,,
48,Maida 1kg,Maida 1kg,40,30,24.00,20.25,,
49,8901157025217,Hit black 400 ml,6,165,160.00,144,,
50,8901157025200,Hit Red 400 ml,8,165,160.00,144,,
51,8901157025033,Hit Black 200 ml,4,89,87.00,77.5,,
52,8901571001088,Eno lemon,12,42,39.00,34.17,,
53,8901314010131,Colgate ST 300g,12,130,128.00,116,,
,Colgate Salt,Colgate Salt,9,98,96.00,86,,
54,8901314081025,Colgate Cibaca 2*175,12,84,82.00,75,,
55,8901396387404,Dettol liquid hand wash 185 ml,15,44,43.00,39.5,,
56,8901396112006,Lizol ,12,76,74.00,68,,
57,8901207503023,Odonil Nature,12,120,118.00,106,,
58,8901052000807,Tata gold 250 g,64,108,105.00,98,,
59,8901052024315,Tata tea agni 250 g,96,58,52.00,44,,
60,8901052010417,Tata premium 500g,24,170,164.00,149.5,,
61,8901052010318,Tata premium 250 g,48,85,81.00,74.75,,
62,Channa Daal,Channa Daal,60,125,122.00,113,,
63,White Channa ,White Channa ,60,135,125.00,115,,
64,Rajma Jammu,Rajma Jammu,60,95,76.00,61,,
65,Rajma Chitra,Rajma Chitra,60,100,94.00,85.5,,
66,Mongi Dhoti,Mongi Dhoti,60,105,96.00,69,,
67,Masar Dal,Masar Dal,60,120,105.00,87,,
68,Mah Dofar,Mah Dofar,30,160,141.00,98,,
69,Mongi Sabat,Mongi Sabat,60,100,68.00,59,,
70,Masar Sabat,Masar Sabat,60,120,97.00,85.5,,
71,Mah Sabat,Mah Sabat,60,130,110.00,90,,
72,Black Channa,Black Channa,30,130,120.00,107,,
73,Arhar,Arhar,30,135,120.00,105,,
74,Moth,Moth,60,110,75.00,58,,
75,8901192107626,CATCH HALDI 500G,32,125,110.00,91.25,,
76,8901192107220,CATCH HALDI 200G,80,52,45.50,37.96,,
77,8901192106223,CATCH RED CHILI 200G,80,62,57.00,45.26,,
78,8901192106629,CATCH RED CHILI 500G,32,150,135.00,109.5,,
79,8901192219220,CATCH GARM MASALA 200,80,68,59.00,49.64,,
80,8901192104229,CATCH DHANIA PWDR 200,80,65,60.00,47.45,,
81,GANESH BOGH DALIA,GANESH BOGH DALIA,60,15,13.00,10,,
82,KATARIA AMLA MURABA 1KG,KATARIA MIX PICKLE 1KG,24,100,70.00,50,,
83,KATARIA APPLE MURABA 1KG,KATARIA AMLA MURABA 1KG,12,100,80.00,62,,
84,KATARIA APPLE MURABA 1KG,KATARIA APPLE MURABA 1KG,12,100,90.00,69,,
85,8901314114419,COLGATE MAX FRESH 150GM,12,90,87.00,77,,
86,8901012191323,JOHNSONS BABY SOAP ,12,45,42.00,38,,
87,8901571004614,SENSODYNE FRESH GEL 70G,6,105,102.00,87,,
88,8901571004096,SENSODYNE FRESH MINT 70G,6,105,102.00,87,,
89,8901030486548,CLOSE -UP FRESH ACTION,12,84,80.00,70,,
90,8901314009173,COLGATE SATL LEMON 200G,9,95,92.00,86,,
91,8901207000324,DABUR RED 200G,6,88,85.00,77,,
92,8901314009517,COLAGATE SALT LEMON 100G,12,54,52.00,48,,
93,8901314021045,COLGATE HERBAL 200G,12,89,86.00,67,,
94,8901138512187,HIMALAYA NEEM FACE WASH 50ML,6,60,57.00,50,,
95,8901644000734,SWIFT HAIR SPREY 250ML ,6,220,200.00,160,,
96,8908001158312,FOGG 120ML,6,199,190.00,155,,
97,8901207019029,DABUR AMLA HAIR OIL 450ML,8,190,186.00,171,,
98,8901207019005,DABUR AMLA HAIR OIL 180ML,6,84,82.00,75,,
99,8908001158244,FOGG  NAPOLEN RED  120ML,4,199,190.00,155,,
100,8908001158350,FAGG PARADISE 120ML,4,199,190.00,155,,
101,4902430658485,HEAD&shoulders 340ml,6,250,245.00,230,,
102,8908001158305,FOGG MARCO 120ML,4,199,190.00,155,,
103,8901012115152,JOHNSONS BABY MILK LOCTION 100ML ,6,95,92.00,78,,
104,89002827,HAIR&CARE 100ML,4,45,43.00,39.5,,
105,808042000442,AYUR HERBAL SHAMPOO 1000ML,6,215,202.00,170,,
106,4902430646895,PANTENE SHAMPOO SILKY SMOOTH 675ML,4,400,390.00,345,,
107,8901030501029,DOVE HAIR THERAPY 650ML,4,430,405.00,340,,
108,8904135205038,AYUR HERBAL SHAMPOO 200ML,6,95,88.00,72,,
109,8902979022989,NYLE LONG BOUNCY 400ML,3,170,165.00,152,,
